customer_id,name,email,age,gender,city,state,segment,total_items_purchased,total_spent,num_orders,last_purchase_date,favourite_category,first_purchase_date,avg_order_value
C191,Barbara Garcia,barbara.garcia12@hotmail.com,29,F,Philadelphia,PA,Loyal,128,4740.72,54,2025-06-22,Women,2024-01-30,87.79
C192,Sarah Scott,sarah.scott76@icloud.com,45,F,Houston,TX,New,82,3474.68,47,2025-06-01,Women,2024-01-13,73.93
C193,Jacob Thompson,jacob.thompson93@gmail.com,37,M,Cleveland,OH,Bargain Hunter,144,4303.31,53,2025-06-22,Men,2024-01-17,81.19
C194,Amanda Miller,amanda.miller20@hotmail.com,20,F,Charlotte,NC,Occasional,62,2228.63,40,2025-06-07,Women,2024-01-02,55.72
C195,Timothy Collins,timothy.collins15@outlook.com,37,M,Miami,FL,New,91,3488.09,56,2025-06-22,Men,2024-01-06,62.29
C196,Brenda Roberts,brenda.roberts78@outlook.com,39,F,Los Angeles,CA,Loyal,135,5587.9,51,2025-06-04,Women,2024-01-05,109.57
C197,Rachel Carter,rachel.carter44@outlook.com,24,F,Portland,OR,Loyal,149,6037.76,57,2025-06-09,Women,2024-01-01,105.93
C198,Raymond Nelson,raymond.nelson9@yahoo.com,36,M,Tampa,FL,New,65,2362.35,44,2025-06-29,Men,2024-01-03,53.69
C199,David Mitchell,david.mitchell49@hotmail.com,35,M,Charlotte,NC,Occasional,79,2723.71,54,2025-06-14,Men,2024-01-02,50.44
C200,Jason Martin,jason.martin73@icloud.com,21,M,Las Vegas,NV,Loyal,121,4141.79,48,2025-06-26,Men,2024-01-06,86.29
